,CTL,1.25xCO2,1.5xCO2,1.75xCO2,2xCO2,3xCO2,4xCO2,6xCO2,8xCO2
0155-01-15 00:00:00,-0.06262779,0.7420349,-0.6358719,-0.3369255,-0.99041367,-0.97662354,0.037540436,0.25286865,0.23166275
0155-02-15 00:00:00,-0.18034554,0.45095825,-0.52189445,-0.32935143,-0.8878994,-0.9720783,0.048696518,0.16625023,0.3877144
0155-03-15 00:00:00,-0.23267937,0.001991272,-0.4239006,-0.09515953,-0.93448067,-0.70510864,0.005754471,0.09699631,0.46767807
0155-04-15 00:00:00,-0.21966171,-0.1037159,-0.57762337,0.03260994,-0.76133156,-0.29711533,0.3000679,0.116313934,0.78165054
0155-05-15 00:00:00,-0.179142,-0.37962532,-0.3561287,-0.063360214,-0.5894604,-0.2659874,-0.045700073,0.086688995,0.6649246
0155-06-15 00:00:00,-0.31409836,-0.99627495,-0.36568832,0.106090546,-0.7168236,-0.18839264,0.020706177,0.141613,0.6152077
0155-07-15 00:00:00,-0.46282196,-1.5462456,-0.44726753,-0.022632599,-0.7658806,-0.16086197,0.23435974,0.36863327,0.79227066
0155-08-15 00:00:00,-0.38982582,-2.096281,-0.47209167,-0.2881813,-0.74128914,-0.2746849,0.5828495,0.7859192,1.1783905
0155-09-15 00:00:00,-0.04626465,-2.2628422,-0.44483185,-0.19696808,-1.0646839,-0.32725716,0.6571026,0.8798809,1.0982704
0155-10-15 00:00:00,-0.18395805,-2.1706734,-0.47431183,0.017074585,-1.166399,-0.45436478,0.44060898,0.88694,0.7606926
0155-11-15 00:00:00,-0.34661484,-2.3192902,-0.53615,0.101436615,-1.1303482,-0.32572174,0.42567253,0.880043,0.75803757
0155-12-15 00:00:00,-0.50660515,-2.6076908,-0.68992233,-0.15336418,-1.231348,-0.4804287,0.44161415,0.8096657,0.6880379
0156-01-15 00:00:00,-0.4510231,-2.522585,-0.74634933,-0.2558422,-1.2443962,-0.38360023,0.5964432,0.6785927,0.90491104
0156-02-15 00:00:00,-0.088350296,-2.4971714,-0.6375313,-0.15691948,-0.9430294,-0.2989788,0.58290863,0.5359783,0.6350708
0156-03-15 00:00:00,0.45536423,-2.1593742,-0.42378235,-0.32240295,-0.83098984,0.016069412,0.76957893,0.31510544,-0.021450043
0156-04-15 00:00:00,0.5144062,-1.6405354,-0.22242355,-0.6527748,-0.7273407,0.2860489,0.5705528,0.48877716,-0.2744751
0156-05-15 00:00:00,0.47838783,-1.385395,-0.12393379,-0.75850105,-0.5703831,0.17351532,0.53961945,0.26084518,-0.16003036
0156-06-15 00:00:00,0.34033012,-1.1160564,-0.19509125,-0.79325104,-0.28334808,0.2991352,0.5253258,0.08675766,-0.15901184
0156-07-15 00:00:00,-0.29808807,-1.1998997,-0.42246246,-0.8202839,-0.062221527,0.5820923,0.9615154,-0.02565384,-0.34684372
0156-08-15 00:00:00,-0.68317413,-1.346735,-0.6069584,-0.9188862,-0.053495407,0.9405575,1.2760658,-0.23021317,-0.7449169
0156-09-15 00:00:00,-0.6211624,-1.3421154,-0.8815651,-1.00066,-0.036979675,1.1400547,1.1814804,-0.43510818,-0.8315468
0156-10-15 00:00:00,-0.7052803,-1.0647373,-1.0053291,-1.0001774,-0.154459,0.8845024,0.9219723,-0.35254097,-0.80975723
0156-11-15 00:00:00,-0.5844383,-0.92163086,-1.008461,-0.93331146,-0.18584442,0.81259155,0.80794144,-0.17430305,-0.64352036
